Harvest ,Species,Treatment ,Tag,Pot,Week,Height
1,VE,16%,H1VE16,121,4,45
1,VE,16%,H1VE16,137,4,55
1,VE,16%,H1VE16,141,4,30
1,VE,16%,H1VE16,168,4,36
1,VE,16%,H1VE16,169,4,33
1,VE,16%,H1VE16,172,4,39
1,VE,16%,H1VE16,174,4,42
1,VE,16%,H1VE16,182,4,29
1,VE,16%,H1VE16,183,4,16
1,VE,16%,H1VE16,184,4,25
1,VE,16%,H1VE16,188,4,22
1,VE,4%,H1VE4,299,4,21
2,VS,4%,H2VS4,6,4,64
2,VS,4%,H2VS4,8,4,49
2,VS,4%,H2VS4,10,4,49
2,VS,4%,H2VS4,12,4,76
2,VS,4%,H2VS4,14,4,51
2,VS,4%,H2VS4,16,4,52
2,VS,4%,H2VS4,24,4,71
2,VS,4%,H2VS4,28,4,55
2,VS,4%,H2VS4,43,4,81
2,VS,4%,H2VS4,67,4,75
2,VS,4%,H2VS4,68,4,70
2,VS,4%,H2VS4,92,4,42
2,VS,8%,H2VS8,1,4,55
2,VS,8%,H2VS8,7,4,71
2,VS,8%,H2VS8,25,4,66
2,VS,8%,H2VS8,30,4,71
2,VS,8%,H2VS8,35,4,40
2,VS,8%,H2VS8,37,4,52
2,VS,8%,H2VS8,40,4,51
2,VS,8%,H2VS8,45,4,56
2,VS,8%,H2VS8,65,4,66
2,VS,8%,H2VS8,90,4,30
2,VS,8%,H2VS8,96,4,47
2,VS,16%,H2VS16,4,4,46
2,VS,16%,H2VS16,31,4,56
2,VS,16%,H2VS16,66,4,55
2,VS,16%,H2VS16,86,4,41
2,VS,16%,H2VS16,94,4,31
2,VS,16%,H2VS16,95,4,42
2,VS,16%,H2VS16,100,4,45
2,VS,16%,H2VS16,106,4,31
2,VS,16%,H2VS16,108,4,31
2,VS,16%,H2VS16,111,4,49
2,VE,4%,H2VE4,91,4,41
2,VE,4%,H2VE4,93,4,32
2,VE,4%,H2VE4,108,4,56
2,VE,4%,H2VE4,134,4,51
2,VE,4%,H2VE4,157,4,44
2,VE,4%,H2VE4,197,4,15
2,VE,4%,H2VE4,198,4,30
2,VE,4%,H2VE4,199,4,31
2,VE,4%,H2VE4,201,4,40
2,VE,4%,H2VE4,208,4,31
2,VE,4%,H2VE4,227,4,0
2,VE,4%,H2VE4,340,4,0
2,VE,8%,H2VE8,120,4,41
2,VE,8%,H2VE8,128,4,41
2,VE,8%,H2VE8,139,4,31
2,VE,8%,H2VE8,143,4,46
2,VE,8%,H2VE8,145,4,41
2,VE,8%,H2VE8,152,4,20
2,VE,8%,H2VE8,158,4,40
2,VE,8%,H2VE8,190,4,40
2,VE,8%,H2VE8,195,4,24
2,VE,8%,H2VE8,207,4,35
2,VE,8%,H2VE8,278,4,0
2,VE,16%,H2VE16,107,4,51
2,VE,16%,H2VE16,122,4,56
2,VE,16%,H2VE16,142,4,40
2,VE,16%,H2VE16,162,4,41
2,VE,16%,H2VE16,164,4,30
2,VE,16%,H2VE16,167,4,20
2,VE,16%,H2VE16,176,4,30
2,VE,16%,H2VE16,178,4,39
2,VE,16%,H2VE16,180,4,22
2,VE,16%,H2VE16,185,4,26
2,VE,16%,H2VE16,186,4,20
2,VE,16%,H2VE16,238,4,0
3,VS,8%,H3VS8,41,13,285
3,VS,8%,H3VS8,41,14,298
3,VS,8%,H3VS8,41,15,348
3,VS,8%,H3VS8,55,1,23
3,VS,8%,H3VS8,55,2,24
3,VS,8%,H3VS8,55,3,30
3,VS,8%,H3VS8,55,4,30
3,VS,8%,H3VS8,55,5,30
3,VS,8%,H3VS8,55,6,45
3,VS,8%,H3VS8,55,7,40
3,VS,8%,H3VS8,55,8,43
3,VS,8%,H3VS8,55,9,70
3,VS,8%,H3VS8,55,10,67
3,VS,8%,H3VS8,55,11,90
3,VS,8%,H3VS8,55,12,93
3,VS,8%,H3VS8,55,13,105
3,VS,8%,H3VS8,55,14,114
3,VS,8%,H3VS8,55,15,137
3,VS,8%,H3VS8,58,1,38
3,VS,8%,H3VS8,58,2,42
3,VS,8%,H3VS8,58,3,44
3,VS,8%,H3VS8,58,4,52
3,VS,8%,H3VS8,58,5,55
3,VS,8%,H3VS8,58,6,52
3,VS,8%,H3VS8,58,7,59
3,VS,8%,H3VS8,58,8,53
3,VS,8%,H3VS8,58,9,62
3,VS,8%,H3VS8,58,10,72
3,VS,8%,H3VS8,58,11,109
3,VS,8%,H3VS8,58,12,120
3,VS,8%,H3VS8,58,13,141
3,VS,8%,H3VS8,58,14,158
3,VS,8%,H3VS8,58,15,218
3,VS,8%,H3VS8,61,1,32
3,VS,8%,H3VS8,61,2,36
3,VS,8%,H3VS8,61,3,30
3,VS,8%,H3VS8,61,4,30
3,VS,8%,H3VS8,61,5,40
3,VS,8%,H3VS8,61,6,40
3,VS,8%,H3VS8,61,7,46
3,VS,8%,H3VS8,61,8,32
3,VS,8%,H3VS8,61,9,73
3,VS,8%,H3VS8,61,10,53
3,VS,8%,H3VS8,61,11,106
3,VS,8%,H3VS8,61,12,104
3,VS,8%,H3VS8,61,13,103
3,VS,8%,H3VS8,61,14,125
3,VS,8%,H3VS8,61,15,152
3,VS,8%,H3VS8,75,1,0
3,VS,8%,H3VS8,75,2,25
3,VS,8%,H3VS8,75,3,29
3,VS,8%,H3VS8,75,4,40
3,VS,8%,H3VS8,75,5,50
3,VS,8%,H3VS8,75,6,42
3,VS,8%,H3VS8,75,7,46
3,VS,8%,H3VS8,75,8,55
3,VS,8%,H3VS8,75,9,70
3,VS,8%,H3VS8,75,10,88
3,VS,8%,H3VS8,75,11,178
3,VS,8%,H3VS8,75,12,204
3,VS,8%,H3VS8,75,13,220
3,VS,8%,H3VS8,75,14,255
3,VS,8%,H3VS8,75,15,262
1,VS,4%,H1VS4,3,5,60
1,VS,4%,H1VS4,9,5,43
1,VS,4%,H1VS4,23,5,79
1,VS,4%,H1VS4,57,5,68
1,VS,4%,H1VS4,69,5,60
1,VS,4%,H1VS4,70,5,78
1,VS,4%,H1VS4,71,5,63
1,VS,4%,H1VS4,102,5,26
1,VS,4%,H1VS4,112,5,44
1,VS,4%,H1VS4,127,5,9
1,VS,8%,H1VS8,26,5,91
1,VS,8%,H1VS8,32,5,70
1,VS,8%,H1VS8,36,5,64
1,VS,8%,H1VS8,39,5,63
1,VS,8%,H1VS8,52,5,79
1,VS,8%,H1VS8,53,5,68
1,VS,8%,H1VS8,56,5,80
1,VS,8%,H1VS8,59,5,90
1,VS,8%,H1VS8,60,5,51
1,VS,8%,H1VS8,64,5,57
1,VS,8%,H1VS8,114,5,55
1,VS,16%,H1VS16,29,5,65
1,VS,16%,H1VS16,33,5,63
1,VS,16%,H1VS16,54,5,67
1,VS,16%,H1VS16,73,5,23
1,VS,16%,H1VS16,74,5,10
1,VS,16%,H1VS16,79,5,47
1,VS,16%,H1VS16,82,5,47
1,VS,16%,H1VS16,84,5,61
1,VS,16%,H1VS16,93,5,24
1,VS,16%,H1VS16,107,5,45
1,VS,16%,H1VS16,109,5,43
1,VS,4%,H1VS4,17,5,45
1,VE,4%,H1VE4,96,5,75
1,VE,4%,H1VE4,102,5,65
1,VE,4%,H1VE4,103,5,59
1,VE,4%,H1VE4,105,5,66
1,VE,4%,H1VE4,110,5,30
1,VE,4%,H1VE4,117,5,35
1,VE,4%,H1VE4,124,5,58
1,VE,4%,H1VE4,181,5,34
1,VE,4%,H1VE4,194,5,48
1,VE,4%,H1VE4,203,5,50
1,VE,8%,H1VE8,94,5,64
1,VE,8%,H1VE8,127,5,88
1,VE,8%,H1VE8,140,5,50
1,VE,8%,H1VE8,144,5,71
1,VE,8%,H1VE8,147,5,10
1,VE,8%,H1VE8,151,5,71
1,VE,8%,H1VE8,155,5,61
1,VE,8%,H1VE8,165,5,48
1,VE,8%,H1VE8,243,5,39
1,VE,8%,H1VE8,248,5,32
1,VE,16%,H1VE16,121,5,58
1,VE,16%,H1VE16,137,5,70
1,VE,16%,H1VE16,141,5,51
1,VE,16%,H1VE16,168,5,47
1,VE,16%,H1VE16,169,5,50
1,VE,16%,H1VE16,172,5,60
1,VE,16%,H1VE16,174,5,56
1,VE,16%,H1VE16,182,5,46
1,VE,16%,H1VE16,183,5,28
1,VE,16%,H1VE16,184,5,43
1,VE,16%,H1VE16,188,5,45
1,VE,4%,H1VE4,299,5,32
2,VS,4%,H2VS4,6,5,72
2,VS,4%,H2VS4,8,5,54
2,VS,4%,H2VS4,10,5,65
2,VS,4%,H2VS4,12,5,95
2,VS,4%,H2VS4,14,5,55
2,VS,4%,H2VS4,16,5,75
2,VS,4%,H2VS4,24,5,88
2,VS,4%,H2VS4,28,5,58
2,VS,4%,H2VS4,43,5,87
2,VS,4%,H2VS4,67,5,72
2,VS,4%,H2VS4,68,5,76
2,VS,4%,H2VS4,92,5,31
2,VS,8%,H2VS8,1,5,62
2,VS,8%,H2VS8,7,5,94
2,VS,8%,H2VS8,25,5,78
2,VS,8%,H2VS8,30,5,102
2,VS,8%,H2VS8,35,5,53
2,VS,8%,H2VS8,37,5,60
2,VS,8%,H2VS8,40,5,60
2,VS,8%,H2VS8,45,5,71
2,VS,8%,H2VS8,65,5,70
2,VS,8%,H2VS8,90,5,32
2,VS,8%,H2VS8,96,5,57
2,VS,16%,H2VS16,4,5,53
2,VS,16%,H2VS16,31,5,72
2,VS,16%,H2VS16,66,5,66
2,VS,16%,H2VS16,86,5,50
2,VS,16%,H2VS16,94,5,44
2,VS,16%,H2VS16,95,5,57
2,VS,16%,H2VS16,100,5,45
2,VS,16%,H2VS16,106,5,45
2,VS,16%,H2VS16,108,5,53
2,VS,16%,H2VS16,111,5,42
2,VE,4%,H2VE4,91,5,70
2,VE,4%,H2VE4,93,5,49
2,VE,4%,H2VE4,108,5,64
2,VE,4%,H2VE4,134,5,63
2,VE,4%,H2VE4,157,5,50
2,VE,4%,H2VE4,197,5,20
2,VE,4%,H2VE4,198,5,49
2,VE,4%,H2VE4,199,5,40
2,VE,4%,H2VE4,201,5,66
2,VE,4%,H2VE4,208,5,50
2,VE,4%,H2VE4,227,5,0
2,VE,4%,H2VE4,340,5,0
2,VE,8%,H2VE8,120,5,55
2,VE,8%,H2VE8,128,5,61
2,VE,8%,H2VE8,139,5,60
2,VE,8%,H2VE8,143,5,56
2,VE,8%,H2VE8,145,5,54
2,VE,8%,H2VE8,152,5,36
2,VE,8%,H2VE8,158,5,73
2,VE,8%,H2VE8,190,5,54
2,VE,8%,H2VE8,195,5,37
2,VE,8%,H2VE8,207,5,54
2,VE,8%,H2VE8,278,5,0
2,VE,16%,H2VE16,107,5,60
2,VE,16%,H2VE16,122,5,83
2,VE,16%,H2VE16,142,5,50
2,VE,16%,H2VE16,162,5,70
2,VE,16%,H2VE16,164,5,50
2,VE,16%,H2VE16,167,5,38
2,VE,16%,H2VE16,176,5,50
2,VE,16%,H2VE16,178,5,45
2,VE,16%,H2VE16,180,5,40
2,VE,16%,H2VE16,185,5,39
2,VE,16%,H2VE16,186,5,32
2,VE,16%,H2VE16,238,5,0
3,VS,8%,H3VS8,123,1,0
3,VS,8%,H3VS8,123,2,9
3,VS,8%,H3VS8,123,3,9
3,VS,8%,H3VS8,123,4,9
3,VS,8%,H3VS8,123,5,9
3,VS,8%,H3VS8,123,6,67
3,VS,8%,H3VS8,123,7,62
3,VS,8%,H3VS8,123,8,86
3,VS,8%,H3VS8,123,9,100
3,VS,8%,H3VS8,123,10,114
3,VS,8%,H3VS8,123,11,183
3,VS,8%,H3VS8,123,12,195
3,VS,8%,H3VS8,123,13,192
3,VS,8%,H3VS8,123,14,209
3,VS,8%,H3VS8,123,15,250
3,VS,8%,H3VS8,125,1,0
3,VS,8%,H3VS8,125,2,9
3,VS,8%,H3VS8,125,3,9
3,VS,8%,H3VS8,125,4,9
3,VS,8%,H3VS8,125,5,9
3,VS,8%,H3VS8,125,6,62
3,VS,8%,H3VS8,125,7,72
3,VS,8%,H3VS8,125,8,67
3,VS,8%,H3VS8,125,9,97
3,VS,8%,H3VS8,125,10,100
3,VS,8%,H3VS8,125,11,190
3,VS,8%,H3VS8,125,12,224
3,VS,8%,H3VS8,125,13,226
3,VS,8%,H3VS8,125,14,229
3,VS,8%,H3VS8,125,15,247
3,VS,8%,H3VS8,126,1,0
3,VS,8%,H3VS8,126,2,9
3,VS,8%,H3VS8,126,3,9
3,VS,8%,H3VS8,126,4,9
3,VS,8%,H3VS8,126,5,9
3,VS,8%,H3VS8,126,6,52
3,VS,8%,H3VS8,126,7,68
3,VS,8%,H3VS8,126,8,71
3,VS,8%,H3VS8,126,9,80
3,VS,8%,H3VS8,126,10,92
1,VS,4%,H1VS4,3,6,61
1,VS,4%,H1VS4,9,6,56
1,VS,4%,H1VS4,23,6,84
1,VS,4%,H1VS4,57,6,80
1,VS,4%,H1VS4,69,6,62
1,VS,4%,H1VS4,70,6,78
1,VS,4%,H1VS4,71,6,62
1,VS,4%,H1VS4,102,6,43
1,VS,4%,H1VS4,112,6,46
1,VS,4%,H1VS4,127,6,52
1,VS,8%,H1VS8,26,6,95
1,VS,8%,H1VS8,32,6,73
1,VS,8%,H1VS8,36,6,74
1,VS,8%,H1VS8,39,6,76
1,VS,8%,H1VS8,52,6,79
1,VS,8%,H1VS8,53,6,79
1,VS,8%,H1VS8,56,6,115
1,VS,8%,H1VS8,59,6,99
1,VS,8%,H1VS8,60,6,71
1,VS,8%,H1VS8,64,6,70
1,VS,8%,H1VS8,114,6,78
1,VS,16%,H1VS16,29,6,65
1,VS,16%,H1VS16,33,6,67
1,VS,16%,H1VS16,54,6,90
1,VS,16%,H1VS16,73,6,25
1,VS,16%,H1VS16,74,6,45
1,VS,16%,H1VS16,79,6,45
1,VS,16%,H1VS16,82,6,55
1,VS,16%,H1VS16,84,6,62
1,VS,16%,H1VS16,93,6,25
1,VS,16%,H1VS16,107,6,56
1,VS,16%,H1VS16,109,6,48
1,VS,4%,H1VS4,17,6,56
1,VE,4%,H1VE4,96,6,76
1,VE,4%,H1VE4,102,6,65
1,VE,4%,H1VE4,103,6,65
1,VE,4%,H1VE4,105,6,51
1,VE,4%,H1VE4,110,6,35
1,VE,4%,H1VE4,117,6,43
1,VE,4%,H1VE4,124,6,60
1,VE,4%,H1VE4,181,6,42
1,VE,4%,H1VE4,194,6,47
1,VE,4%,H1VE4,203,6,68
1,VE,8%,H1VE8,94,6,68
1,VE,8%,H1VE8,127,6,80
1,VE,8%,H1VE8,140,6,46
1,VE,8%,H1VE8,144,6,64
1,VE,8%,H1VE8,147,6,50
1,VE,8%,H1VE8,151,6,72
1,VE,8%,H1VE8,155,6,71
1,VE,8%,H1VE8,165,6,45
1,VE,8%,H1VE8,243,6,45
1,VE,8%,H1VE8,248,6,43
1,VE,16%,H1VE16,121,6,60
1,VE,16%,H1VE16,137,6,71
1,VE,16%,H1VE16,141,6,50
1,VE,16%,H1VE16,168,6,62
1,VE,16%,H1VE16,169,6,50
1,VE,16%,H1VE16,172,6,62
1,VE,16%,H1VE16,174,6,52
1,VE,16%,H1VE16,182,6,65
1,VE,16%,H1VE16,183,6,32
1,VE,16%,H1VE16,184,6,47
1,VE,16%,H1VE16,188,6,53
1,VE,4%,H1VE4,299,6,45
2,VS,4%,H2VS4,6,6,85
2,VS,4%,H2VS4,8,6,60
2,VS,4%,H2VS4,10,6,75
2,VS,4%,H2VS4,12,6,112
2,VS,4%,H2VS4,14,6,60
2,VS,4%,H2VS4,16,6,85
2,VS,4%,H2VS4,24,6,93
2,VS,4%,H2VS4,28,6,64
2,VS,4%,H2VS4,43,6,107
2,VS,4%,H2VS4,67,6,72
2,VS,4%,H2VS4,68,6,78
2,VS,4%,H2VS4,92,6,55
2,VS,8%,H2VS8,1,6,71
2,VS,8%,H2VS8,7,6,98
2,VS,8%,H2VS8,25,6,86
2,VS,8%,H2VS8,30,6,105
2,VS,8%,H2VS8,35,6,90
2,VS,8%,H2VS8,37,6,63
2,VS,8%,H2VS8,40,6,50
2,VS,8%,H2VS8,45,6,94
2,VS,8%,H2VS8,65,6,75
2,VS,8%,H2VS8,90,6,45
2,VS,8%,H2VS8,96,6,62
2,VS,16%,H2VS16,4,6,59
2,VS,16%,H2VS16,31,6,72
2,VS,16%,H2VS16,66,6,70
2,VS,16%,H2VS16,86,6,59
2,VS,16%,H2VS16,94,6,56
2,VS,16%,H2VS16,95,6,61
2,VS,16%,H2VS16,100,6,45
2,VS,16%,H2VS16,106,6,63
2,VS,16%,H2VS16,108,6,55
2,VS,16%,H2VS16,111,6,53
2,VE,4%,H2VE4,91,6,75
2,VE,4%,H2VE4,93,6,51
2,VE,4%,H2VE4,108,6,79
2,VE,4%,H2VE4,134,6,66
2,VE,4%,H2VE4,157,6,57
2,VE,4%,H2VE4,197,6,23
2,VE,4%,H2VE4,198,6,46
2,VE,4%,H2VE4,199,6,45
2,VE,4%,H2VE4,201,6,66
2,VE,4%,H2VE4,208,6,58
2,VE,4%,H2VE4,227,6,0
2,VE,4%,H2VE4,340,6,0
2,VE,8%,H2VE8,120,6,48
2,VE,8%,H2VE8,128,6,53
2,VE,8%,H2VE8,139,6,66
2,VE,8%,H2VE8,143,6,54
2,VE,8%,H2VE8,145,6,49
2,VE,8%,H2VE8,152,6,72
2,VE,8%,H2VE8,158,6,63
2,VE,8%,H2VE8,190,6,58
2,VE,8%,H2VE8,195,6,50
2,VE,8%,H2VE8,207,6,62
2,VE,8%,H2VE8,278,6,0
2,VE,16%,H2VE16,107,6,67
2,VE,16%,H2VE16,122,6,80
2,VE,16%,H2VE16,142,6,51
2,VE,16%,H2VE16,162,6,80
2,VE,16%,H2VE16,164,6,56
2,VE,16%,H2VE16,167,6,41
2,VE,16%,H2VE16,176,6,60
2,VE,16%,H2VE16,178,6,46
2,VE,16%,H2VE16,180,6,43
2,VE,16%,H2VE16,185,6,50
2,VE,16%,H2VE16,186,6,44
2,VE,16%,H2VE16,238,6,0
3,VS,8%,H3VS8,126,11,128
3,VS,8%,H3VS8,126,12,153
3,VS,8%,H3VS8,126,13,164
3,VS,8%,H3VS8,126,14,191
3,VS,8%,H3VS8,126,15,210
3,VS,8%,H3VS8,128,1,0
3,VS,8%,H3VS8,128,2,9
3,VS,8%,H3VS8,128,3,9
3,VS,8%,H3VS8,128,4,9
3,VS,8%,H3VS8,128,5,9
3,VS,8%,H3VS8,128,6,50
3,VS,8%,H3VS8,128,7,57
3,VS,8%,H3VS8,128,8,129
3,VS,8%,H3VS8,128,9,98
3,VS,8%,H3VS8,128,10,124
3,VS,8%,H3VS8,128,11,212
3,VS,8%,H3VS8,128,12,214
3,VS,8%,H3VS8,128,13,121
3,VS,8%,H3VS8,128,14,230
3,VS,8%,H3VS8,128,15,275
3,VS,8%,H3VS8,129,1,0
3,VS,8%,H3VS8,129,2,9
3,VS,8%,H3VS8,129,3,9
3,VS,8%,H3VS8,129,4,9
3,VS,8%,H3VS8,129,5,9
3,VS,8%,H3VS8,129,6,76
3,VS,8%,H3VS8,129,7,66
3,VS,8%,H3VS8,129,8,74
3,VS,8%,H3VS8,129,9,110
3,VS,8%,H3VS8,129,10,121
3,VS,8%,H3VS8,129,11,180
3,VS,8%,H3VS8,129,12,193
3,VS,8%,H3VS8,129,13,204
3,VS,8%,H3VS8,129,14,209
3,VS,8%,H3VS8,129,15,216
3,VS,16%,H3VS16,46,1,23
3,VS,16%,H3VS16,46,2,35
3,VS,16%,H3VS16,46,3,35
3,VS,16%,H3VS16,46,4,40
3,VS,16%,H3VS16,46,5,45
3,VS,16%,H3VS16,46,6,45
3,VS,16%,H3VS16,46,7,78
3,VS,16%,H3VS16,46,8,76
3,VS,16%,H3VS16,46,9,94
3,VS,16%,H3VS16,46,10,104
3,VS,16%,H3VS16,46,11,140
3,VS,16%,H3VS16,46,12,150
3,VS,16%,H3VS16,46,13,165
3,VS,16%,H3VS16,46,14,177
3,VS,16%,H3VS16,46,15,195
3,VS,16%,H3VS16,76,1,0
3,VS,16%,H3VS16,76,2,9
3,VS,16%,H3VS16,76,3,15
3,VS,16%,H3VS16,76,4,20
3,VS,16%,H3VS16,76,5,37
3,VS,16%,H3VS16,76,6,41
3,VS,16%,H3VS16,76,7,67
3,VS,16%,H3VS16,76,8,75
3,VS,16%,H3VS16,76,9,109
3,VS,16%,H3VS16,76,10,126
3,VS,16%,H3VS16,76,11,190
3,VS,16%,H3VS16,76,12,205
3,VS,16%,H3VS16,76,13,221
3,VS,16%,H3VS16,76,14,233
3,VS,16%,H3VS16,76,15,205
3,VS,16%,H3VS16,85,1,0
3,VS,16%,H3VS16,85,2,14
3,VS,16%,H3VS16,85,3,31
3,VS,16%,H3VS16,85,4,30
3,VS,16%,H3VS16,85,5,31
3,VS,16%,H3VS16,85,6,30
3,VS,16%,H3VS16,85,7,39
3,VS,16%,H3VS16,85,8,48
3,VS,16%,H3VS16,85,9,62
1,VS,4%,H1VS4,3,7,70
1,VS,4%,H1VS4,9,7,69
1,VS,4%,H1VS4,23,7,104
1,VS,4%,H1VS4,57,7,83
1,VS,4%,H1VS4,69,7,69
1,VS,4%,H1VS4,70,7,110
1,VS,4%,H1VS4,71,7,76
1,VS,4%,H1VS4,102,7,43
1,VS,4%,H1VS4,112,7,56
1,VS,4%,H1VS4,127,7,60
1,VS,8%,H1VS8,26,7,117
1,VS,8%,H1VS8,32,7,90
1,VS,8%,H1VS8,36,7,82
1,VS,8%,H1VS8,39,7,66
1,VS,8%,H1VS8,52,7,84
1,VS,8%,H1VS8,53,7,86
1,VS,8%,H1VS8,56,7,111
1,VS,8%,H1VS8,59,7,112
1,VS,8%,H1VS8,60,7,116
1,VS,8%,H1VS8,64,7,86
1,VS,8%,H1VS8,114,7,80
1,VS,16%,H1VS16,29,7,80
1,VS,16%,H1VS16,33,7,83
1,VS,16%,H1VS16,54,7,94
1,VS,16%,H1VS16,73,7,20
1,VS,16%,H1VS16,74,7,72
1,VS,16%,H1VS16,79,7,43
1,VS,16%,H1VS16,82,7,61
1,VS,16%,H1VS16,84,7,76
1,VS,16%,H1VS16,93,7,22
1,VS,16%,H1VS16,107,7,60
1,VS,16%,H1VS16,109,7,58
1,VS,4%,H1VS4,17,7,73
1,VE,4%,H1VE4,96,7,71
1,VE,4%,H1VE4,102,7,62
1,VE,4%,H1VE4,103,7,64
1,VE,4%,H1VE4,105,7,66
1,VE,4%,H1VE4,110,7,37
1,VE,4%,H1VE4,117,7,53
1,VE,4%,H1VE4,124,7,67
1,VE,4%,H1VE4,181,7,46
1,VE,4%,H1VE4,194,7,52
1,VE,4%,H1VE4,203,7,65
1,VE,8%,H1VE8,94,7,65
1,VE,8%,H1VE8,127,7,84
1,VE,8%,H1VE8,140,7,46
1,VE,8%,H1VE8,144,7,70
1,VE,8%,H1VE8,147,7,50
1,VE,8%,H1VE8,151,7,64
1,VE,8%,H1VE8,155,7,79
1,VE,8%,H1VE8,165,7,51
1,VE,8%,H1VE8,243,7,63
1,VE,8%,H1VE8,248,7,50
