,Experiment ,Sample_No,Name,Species ,Treatment,Sp_Tr,delta15N,delta13C,N,C,CN_ratio,root_diam_0,root_diam_30,root_tip_no,nodules,nodule_count,nodule_wt,fine_root_weight,AG_wt,BG_wt,Course_root_wt,Total_wt,comments,ratio,test
new,Herbivory,14,H2-1_SN_150,SN,2m,SN_H2,2.599,-27.66066667,1.813241918,45.13368473,24.8911545,9.03,6.59,13,Y,2,0.023,2.03,7.49,18.18,16.15,25.67,,0.411991199,0
new,Herbivory,15,H2-3_SN_255,SN,2m,SN_H2,0.687,-25.61666667,2.272661158,45.90965557,20.2008361,14.77,9.45,14,Y,36,0.479,1.567,50.92,29.977,28.41,80.897,,1.698635621,0
new,Herbivory,16,H2-3_SN_284 ,SN,2m,SN_H2,5.935,-26.81666667,1.846146032,43.59236539,23.61263119,10.37,2.44,9,Y,0,0,1.11,12.7,20.43,19.32,33.13,,0.621634851,0
new,Herbivory,9,H3-1_SN_301,SN,3m,SN_H3,0.927,-27.18666667,2.102644162,45.75094248,21.75876608,14.94,7.68,16,Y,1,0.003,1.811,38.51,60.671,58.86,99.181,,0.634734882,0
new,Herbivory,7,H3-2_SN_364,SN,3m,SN_H3,2.163,-26.65566667,2.989889325,45.93598684,15.36377499,14.83,7.09,13,N,0,0,0.437,80.11,37.837,37.4,117.947,,2.117239739,0
new,Herbivory,13,H3-2_SN_374,SN,3m,SN_H3,-0.596,-26.07066667,2.248640003,45.58135856,20.27063403,16.86,10.81,18,Y,52,0.659,0.91,63.82,51.6,50.69,115.42,,1.236821705,0
new,Herbivory,8,H3-3_SN_422,SN,3m,SN_H3,2.025,-26.52566667,2.109942302,45.22923595,21.43624302,25.73,8.73,19,Y,5,0.078,2.355,20.93,82.275,79.92,103.205,,0.254390763,0
new,Herbivory,3,H3-3_SN_418,SN,3m,SN_H3,1.425,-26.07766667,2.200876844,45.65650091,20.74468684,15.83,6.95,9,Y,87,0.507,3.062,112.58,66.222,63.16,178.802,,1.700039262,0
new,Herbivory,10,H4-1_SN_477,SN,4m,SN_H4,3.631,-26.37966667,1.735499151,43.2419349,24.91613717,7.54,2.9,1,N,0,0,0.965,4.44,8.525,7.56,12.965,,0.520821114,0
new,Herbivory,5,H4-2_SN_493,SN,4m,SN_H4,3.722,-25.83666667,1.627110205,43.88369692,26.97032861,8.26,3.94,7,Y,34,0.089,0.348,8.64,10.318,9.97,18.958,,0.837371584,0
new,Herbivory,2,H4-2_SN_513,SN,4m,SN_H4,1.237,-25.68966667,2.246733208,46.43573743,20.66811371,18.57,15.53,10,Y,25,0.057,2.631,91.22,61.081,58.45,152.301,,1.493426761,0
new,Herbivory,12,H4-3_SN_539,SN,4m,SN_H4,2.288,-25.10666667,2.228880253,45.85301503,20.57222005,11.63,4.62,12,Y,7,1.538,1.641,20.06,20.831,19.19,40.891,,0.962987855,0
new,Herbivory,4,H4-3_SN_577 ,SN,4m,SN_H4,5.298,-26.00966667,1.869117996,42.93201638,22.96913115,7.78,4.6,16,Y,21,0.176,1.631,8.06,10.561,8.93,18.621,,0.763185304,0
new,Herbivory,11,H5-2_SN_667,SN,C,SN_H5,0.959,-26.04866667,2.3035154,44.76211,19.43208628,12.07,9.83,16,N,0,0,2.162,40.66,33.172,31.01,73.832,,1.225732546,0
new,Herbivory,1,H5-2_SN_653 ,SN,C,SN_H5,6.25,-26.83866667,2.229623437,44.79650596,20.09151196,8.31,5.61,11,N,0,0,3.06,15.96,25.51,22.45,41.47,,0.625637005,0
new,Herbivory,6,H5-3_SN_717 ,SN,C,SN_H5,-0.096,-26.34666667,1.884367713,43.77760889,23.23198842,14.87,7.34,11,Y,6,0.13,0.978,64.48,58.068,57.09,122.548,,1.110422264,0
new,Herbivory,11,H5-3_SN_718,SN,C,SN_H5,5.567,-26.34666667,1.484367713,43.77760889,,17.69,11.37,5,Y,2,0.113,7.137,116.68,82.347,75.21,199.027,,1.416930793,0
41,Herbivory,103,H2-3_VEX_278,VEX,2m,VEX_H2,4.442027873,-28.9873976,2.111304965,44.02594638,20.85248086,8.32,7.59,7,Y,3,0.001,0.715,8.76,10.975,10.26,19.735,,0.798177677,0
56,Herbivory,104,H2-3_VEX_288,VEX,2m,VEX_H2,1.914595152,-27.43202953,2.169188341,43.35998186,19.98903509,10.19,8.97,7,N,0,0,0.977,79.58,42.367,41.39,121.947,,1.878348715,0
33,Herbivory,105,H2-3_VEX_253,VEX,2m,VEX_H2,2.94401766,-27.80820386,1.844660967,44.5013248,24.12439228,7.13,2.58,14,Y,3,0.004,0.908,8.79,11.178,10.27,19.968,,0.786366076,0
48,Herbivory,133,H2-2_VEX_214,VEX,2m,VEX_H2,2.71851702,-28.31048716,1.843356901,45.43996287,24.65065926,14.23,6.1,8,N,0,0,0.046,30.4,31.196,31.15,61.596,,0.974483908,0
63,Herbivory,115,H3-3_VEX_394,VEX,3m,VEX_H3,1.846750161,-28.11120639,2.304628839,47.81002833,20.74521828,14.9,9.67,20,Y,1,0.006,1.02,1.48,4.41,3.39,5.89,,0.335600907,0
42,Herbivory,123,H3-2_VEX_354,VEX,3m,VEX_H3,2.195794069,-28.12926943,1.802970365,46.06843725,25.55141124,6.08,3.1,5,Y,6,0.085,0.587,3.01,6.487,5.9,9.497,,0.464004933,0
35,Herbivory,124,H3-2_VEX_376,VEX,3m,VEX_H3,1.475007843,-28.77710704,2.502284805,48.02859588,19.19389663,13.09,9.01,5,Y,56,0.491,1.2,48.11,32.5,31.3,80.61,,1.480307692,0
59,Herbivory,125,H3-1_VEX_125,VEX,3m,VEX_H3,2.068339561,-28.60065424,2.240263834,48.26476229,21.54423133,6.93,4.88,9,Y,35,0.062,0.29,2.6,2.19,1.9,4.79,,1.187214612,0
22,Herbivory,126,H3-3_VEX_412,VEX,3m,VEX_H3,1.313341059,-28.97205656,2.328828799,46.18704268,19.83273425,9.1,3.13,8,N,0,0,0.643,7.36,18.403,17.76,25.763,,0.399934793,0
19,Herbivory,101,H4-3_VEX_489,VEX,4m,VEX_H4,3.347930403,-30.49828451,1.717382807,47.9498697,27.92031544,8.06,3.61,15,Y,2,0.008,0.497,8.37,13.837,13.34,22.207,,0.604899906,0
15,Herbivory,131,H4-2_VEX_523,VEX,4m,VEX_H4,1.307999372,-28.09172203,2.167654252,38.49172324,17.75731678,9.2,5.33,9,Y,48,0.198,0.512,15.74,18.592,18.08,34.332,,0.846600688,0
52,Herbivory,132,H4-2_VEX_497,VEX,4m,VEX_H4,2.60303469,-29.59809732,2.010609249,47.39504166,23.57247768,7.02,3.29,9,Y,5,0.043,1.946,3.59,23.116,21.17,26.706,,0.155303686,0
46,Herbivory,134,H4-1_VEX_435,VEX,4m,VEX_H4,1.308155823,-28.45127964,2.642275298,47.09588336,17.82398806,17.03,14.85,16,Y,76,0.345,2.439,67.51,51.249,48.81,118.759,,1.317293996,0
38,Herbivory,117,H5-3_VEX_746,VEX,C,VEX_H5,0.996217039,-29.1782058,1.824411094,48.36642138,26.5107034,8.98,8.08,14,Y,4,0.06,0.589,33.76,22.049,21.46,55.809,,1.531135199,0
51,Herbivory,118,H5-3_VEX_680,VEX,C,VEX_H5,3.005139404,-28.76869177,1.854307758,41.40698951,22.33016032,18.08,4.78,16,N,0,0,3.349,80.58,64.469,61.12,145.049,,1.249903054,0
1,Herbivory,119,H5-2_VEX_673,VEX,C,VEX_H5,2.879431835,-29.39478762,1.959954248,44.87006081,22.89342257,7.18,1.99,14,Y,1,0.001,2.456,17.88,15.206,12.75,33.086,,1.175851638,0
39,Herbivory,136,H5-3_VEX_762,VEX,C,VEX_H5,1.502727831,-28.40143845,2.126694553,46.64456889,21.93289527,17.31,14.65,27,Y,2,0.001,0.864,160.43,85.664,84.8,246.094,,1.872782032,0
54,Herbivory,111,H2-3_VS_269,VS,2m,VS_H2,0.001718523,-27.68127763,2.617407202,45.6695398,17.4483893,18.4,19.5,10,Y,53,0.189,3.082,5.98,111.372,108.29,117.352,,0.053693927,0
5,Herbivory,113,H2-3_VS_250,VS,2m,VS_H2,3.159685628,-29.1773207,1.776393388,44.19290053,24.87787943,3.29,4.11,2,Y,26,0.066,1.103,3.14,7.533,6.43,10.673,,0.416832603,0
18,Herbivory,114,H2-3_VS_173,VS,2m,VS_H2,1.982513729,-26.45944444,2.81532947,45.77087273,16.25773226,9.73,8.4,10,Y,9,0.049,2.574,19.28,13.484,10.91,32.764,,1.429842777,0
32,Herbivory,106,H3-3_VS_398,VS,3m,VS_H3,-0.061312627,-27.17640636,3.008948774,48.53482733,16.13016072,5.74,1.37,7,Y,6,0.026,0.734,47.34,57.734,57,105.074,,0.819967437,0
37,Herbivory,116,H3-2_VS_366,VS,3m,VS_H3,1.716745661,-25.40320502,2.859569728,47.31137197,16.54492685,11.57,12.41,3,Y,0,0.939,4.112,27.18,31.822,27.71,59.002,,0.854126076,0
45,Herbivory,128,H3-3_VS_388,VS,3m,VS_H3,-0.015735766,-26.50423412,2.443214565,46.81164865,19.15985985,8.99,8.07,6,Y,1,0.001,0.64,9.24,43.63,42.99,52.87,,0.211780885,0
20,Herbivory,130,H3-1_VS_313,VS,3m,VS_H3,2.36893596,-25.22809453,2.980690337,45.64617296,15.31396012,7.99,8.09,12,N,0,0,1.144,7.56,14.734,13.59,22.294,,0.513098955,0
34,Herbivory,131,H3-3_VS_407,VS,3m,VS_H3,-0.092619878,-26.80818635,2.804215002,48.03985489,17.13130229,7.98,6.18,5,Y,19,0.372,0.911,6.73,17.391,16.48,24.121,,0.386981772,0
26,Herbivory,107,H4-2_VS_482,VS,4m,VS_H4,3.172549578,-27.34089402,2.800689224,47.05515378,16.80127641,5.56,4.23,4.23,Y,3,0.007,0.624,4,5.834,5.21,9.834,,0.685635927,0
55,Herbivory,108,H4-3_VS_535,VS,4m,VS_H4,0.339882741,-25.7822299,2.977064667,46.16123212,15.50561956,15.38,15.71,28,Y,136,1.28,3.218,55.63,53.368,50.15,108.998,,1.04238495,0
24,Herbivory,109,H4-3_VS_114,VS,4m,VS_H4,3.141839314,-26.76506349,3.254732729,45.94356055,14.11592422,0,0,0,Y,39,0.118,1.618,30.79,14.598,12.98,45.388,,2.10919304,0
28,Herbivory,112,H4-1_VS_449,VS,4m,VS_H4,0.973189807,-27.03087588,2.875550799,46.18748301,16.06213426,17.75,20.02,12,Y,7,0.027,2.752,70.84,81.352,78.6,152.192,,0.870783755,0
57,Herbivory,120,H5-3_VS_711,VS,C,VS_H5,0.618035413,-26.22547616,2.45601247,44.97588633,18.31256432,9.01,7.04,4,Y,29,0.117,0.451,14.55,14.991,14.54,29.541,,0.970582349,0
61,Herbivory,121,H5-2_VS_629,VS,C,VS_H5,3.975111637,-27.28046194,3.370919364,46.96035186,13.93102201,1.37,0.76,3,N,0,0,0.684,0.99,50.674,49.99,51.664,,0.019536646,0
29,Herbivory,127,H5-3_VS_690,VS,C,VS_H5,1.19931181,-30.5856474,2.973545486,42.44589407,14.2745064,11.96,9.29,7,Y,37,0.1,5.731,50.72,83.741,78.01,134.461,,0.605677028,0
25,Herbivory,129,H5-3_VS_712,VS,C,VS_H5,1.75541523,-26.3413885,2.782642465,46.79538795,16.81688846,11.05,13.87,9,Y,17,0.035,1.718,41.78,48.718,47,90.498,,0.857588571,0
31,Herbivory,135,H5-2_VS_654,VS,C,VS_H5,4.587852093,-27.02941024,2.99,44.28,14.8105,2.99,1.98,1,N,5,0.049,0.588,1.4,4.088,3.5,5.488,,0.342465753,0
